id,hospital_name,lat,lng
1,Phoenixville Hospital,40.123033,-75.515591
2,Pottstown Hospital,40.242815,-75.6126
3,Einstein Medical Center Montgomery,40.152864,-75.342633
4,Lankenau Medical Center,39.988366,-75.2621748
5,Roxborough Memorial Hospital | Philadelphia,40.0289142,-75.2093856
6,Jefferson Abington Hospital,40.1190689,-75.1199064
7,Jefferson Lansdale Hospital,40.2504115,-75.2714216
8,St. Luke's Grand View Hospital - Sellersville,40.3627454,-75.3249681
9,St. Luke's Grand View Hospital - Sellersville,40.3673483,-75.3296481
10,Doylestown Health: Doylestown Hospital,40.3051639,-75.1457361
11,Lehigh Valley Hospital–Gilbertsville,40.3118989,-75.6322643
