id,station_name,lat,lng
1,Plymouth Ambulance Station A Norristown,40.113297,-75.341313
2,Plymouth Ambulance Station C,40.272578,-75.461352
3,Central Bucks EMS - Medic 174,40.204648,-75.099028
4,Tri-Hampton Rescue Squad - Station 115,40.211379,-75.008731
5,Plymouth Community Ambulance,40.1273233,-75.2965512
6,Boyertown Community ambulance,40.3309592,-75.6406564
7,Gilbertsville Area Community Ambulance Services Medic 332,40.3190603,-75.6175866
8,Goodwill Fire Company EMS Medic 329,40.2437162,-75.6373759
9,Friendship Ambulance,40.1797569,-75.5367226
10,Plymouth Ambulance Station B,40.1546032,-75.3610732
11,Skippack Emergency Medical Services,40.2218045,-75.407996
